Property,Market Rent,Units,Sqft,Property Name,Property ID,Property Address,Property Street Address 1,Property Street Address 2,Property City,Property State,Property Zip

"1019 Spring St. - 1019 Spring Street Madison, WI 53715","13,000.00",4,"4,160",1019 Spring St.,49,"1019 Spring Street Madison, WI 53715",1019 Spring Street,,Madison,WI,53715
"1020 Fahrenbrook Court - 1020 Fahrenbrook Court Madison, WI 53715","37,120.00",13,"13,000",1020 Fahrenbrook Court,50,"1020 Fahrenbrook Court Madison, WI 53715",1020 Fahrenbrook Court,,Madison,WI,53715
"1040 Spring St. - 1040 Spring Street Madison, WI 53715","70,880.00",20,"20,370",1040 Spring St.,51,"1040 Spring Street Madison, WI 53715",1040 Spring Street,,Madison,WI,53715
"110 S. Hancock Street - 110 S. Hancock Street Madison, WI 53703","8,880.00",8,"4,260",110 S. Hancock Street,25,"110 S. Hancock Street Madison, WI 53703",110 S. Hancock Street,,Madison,WI,53703
"122/124/126 State Street - 122 State Street Madison, WI 53703","6,445.00",7,"1,770",122/124/126 State Street,67,"122 State Street Madison, WI 53703",122 State Street,,Madison,WI,53703
"128/130/132 State Street - 130 State Street Madison, WI 53703",0.00,5,"3,652",128/130/132 State Street,66,"130 State Street Madison, WI 53703",130 State Street,,Madison,WI,53703
"1307 Middleton St - 1307 Middleton St Middleton, WI 53562",0.00,1,0,1307 Middleton St,74,"1307 Middleton St Middleton, WI 53562",1307 Middleton St,,Middleton,WI,53562
"1308 Shirley St - 1308 Shirley St Middleton, WI 53562",0.00,1,"2,668",1308 Shirley St,72,"1308 Shirley St Middleton, WI 53562",1308 Shirley St,,Middleton,WI,53562
"1802/1804 Kendall Avenue - 1802/1804 Kendall Avenue Madison, WI 53726","7,000.00",2,"2,686",1802/1804 Kendall Avenue,24,"1802/1804 Kendall Avenue Madison, WI 53726",1802/1804 Kendall Avenue,,Madison,WI,53726
"202  S. Randall Ave. - 202 S. Randall Ave. Madison, WI 53715","5,000.00",1,0,202  S. Randall Ave.,65,"202 S. Randall Ave. Madison, WI 53715",202 S. Randall Ave.,,Madison,WI,53715
"214 Breese Terrace - 214 Breese Terrace Madison, WI 53726","8,640.00",1,"3,278",214 Breese Terrace,13,"214 Breese Terrace Madison, WI 53726",214 Breese Terrace,,Madison,WI,53726
"214 State Street - 214 State Street Madison, WI 53703","8,335.00",3,"4,026",214 State Street,62,"214 State Street Madison, WI 53703",214 State Street,,Madison,WI,53703
"214/216 Gilman - 214/216 W. Gilman Street Madison, WI 53703","8,130.00",6,"3,380",214/216 Gilman,6,"214/216 W. Gilman Street Madison, WI 53703",214/216 W. Gilman Street,,Madison,WI,53703
"218 Gilman - 218 W. Gilman Street House Madison, WI 53703","7,830.00",1,"2,827",218 Gilman,7,"218 W. Gilman Street House Madison, WI 53703",218 W. Gilman Street,House,Madison,WI,53703
"304 N. Broom Street - 304 N. Broom Street Madison, WI 53703",0.00,2,"1,925",304 N. Broom Street,30,"304 N. Broom Street Madison, WI 53703",304 N. Broom Street,,Madison,WI,53703
"306/308 N. Prospect Avenue - 306/308 N. Prospect Avenue Madison, WI 53726","8,630.00",2,"2,552",306/308 N. Prospect Avenue,23,"306/308 N. Prospect Avenue Madison, WI 53726",306/308 N. Prospect Avenue,,Madison,WI,53726
"3310 Lake Mendota - 3310 Lake Mendota Drive Madison, WI 53705",0.00,1,0,3310 Lake Mendota,75,"3310 Lake Mendota Drive Madison, WI 53705",3310 Lake Mendota Drive,,Madison,WI,53705
"3547 Topping Road - 3547 Topping Road Madison, WI 53705","7,500.00",1,"4,126",3547 Topping Road,63,"3547 Topping Road Madison, WI 53705",3547 Topping Road,,Madison,WI,53705
"401/407 State Street - 401/407 State Street Madison, WI 53703","17,720.00",7,"5,324",401/407 State Street,26,"401/407 State Street Madison, WI 53703",401/407 State Street,,Madison,WI,53703
"408 W. Johnson Street - 408 W. Johnson Street Madison, WI 53703",0.00,1,"1,680",408 W. Johnson Street,27,"408 W. Johnson Street Madison, WI 53703",408 W. Johnson Street,,Madison,WI,53703
"412 W. Johnson Street - 412 W. Johnson Street Madison, WI 53703",0.00,9,"7,550",412 W. Johnson Street,28,"412 W. Johnson Street Madison, WI 53703",412 W. Johnson Street,,Madison,WI,53703
"414 W. Johnson Street - 414 W. Johnson Street Madison, WI 53703",0.00,1,"2,142",414 W. Johnson Street,29,"414 W. Johnson Street Madison, WI 53703",414 W. Johnson Street,,Madison,WI,53703
"441 N. Lake Street - 441 N. Lake Street Madison, WI 53715","11,384.17",1,"3,595",441 N. Lake Street,36,"441 N. Lake Street Madison, WI 53715",441 N. Lake Street,,Madison,WI,53715
"4617 Dovetail Drive - 4617 Dovetail Drive Madison, WI 53704",0.00,1,0,4617 Dovetail Drive,35,"4617 Dovetail Drive Madison, WI 53704",4617 Dovetail Drive,,Madison,WI,53704
"515 State Street - 515 State Street Madison, WI 53703","45,071.00",16,"13,035",515 State Street,52,"515 State Street Madison, WI 53703",515 State Street,,Madison,WI,53703
"5201 Commercial Avenue - 5201 Commercial Avenue Madison, WI 53704",0.00,0,0,5201 Commercial Avenue,37,"5201 Commercial Avenue Madison, WI 53704",5201 Commercial Avenue,,Madison,WI,53704
"5602 Schroeder Rd LLC (Land) - 5602 Schroeder Rd Madison, WI 53711",0.00,0,0,5602 Schroeder Rd LLC (Land),79,"5602 Schroeder Rd Madison, WI 53711",5602 Schroeder Rd,,Madison,WI,53711
"5602 Schroeder Rd QOZB LLC - 5602 Schroeder Rd Madison, WI 53711",0.00,0,0,5602 Schroeder Rd QOZB LLC,70,"5602 Schroeder Rd Madison, WI 53711",5602 Schroeder Rd,,Madison,WI,53711
"6333 University Ave. - 6333 University Ave. Middleton, WI 53562","28,693.26",16,"26,092",6333 University Ave.,87,"6333 University Ave. Middleton, WI 53562",6333 University Ave.,,Middleton,WI,53562
"728 Lionshead Cir. - 728 Lionshead circle R-6 Vail, CO 81657",0.00,1,0,728 Lionshead Cir.,64,"728 Lionshead circle R-6 Vail, CO 81657",728 Lionshead circle,R-6,Vail,CO,81657
"Beaverbrook Apartments - 2644 Branch Street Middleton, WI 53562","70,785.00",36,"30,059",Beaverbrook Apartments,71,"2644 Branch Street Middleton, WI 53562",2644 Branch Street,,Middleton,WI,53562
"Brooks House - 202 N. Brooks Street Madison, WI 53715","60,125.00",14,"16,519",Brooks House,3,"202 N. Brooks Street Madison, WI 53715",202 N. Brooks Street,,Madison,WI,53715
"Campus Corner - 53 North Mills Street Madison, WI 53715","41,020.00",12,"13,050",Campus Corner,53,"53 North Mills Street Madison, WI 53715",53 North Mills Street,,Madison,WI,53715
"Campus Village - 1 Gerry Court Madison, WI 53715","377,510.00",124,"100,241",Campus Village,54,"1 Gerry Court Madison, WI 53715",1 Gerry Court,,Madison,WI,53715
"Cox Rentals-Parent LLC - 122 State Street Madison, WI 53703",0.00,2,0,Cox Rentals-Parent LLC,68,"122 State Street Madison, WI 53703",122 State Street,,Madison,WI,53703
"Delafield Lakes - 402 & 404 Genesee Street Delafield, WI 53018","112,770.00",57,"54,150",Delafield Lakes,9,"402 & 404 Genesee Street Delafield, WI 53018",402 & 404 Genesee Street,,Delafield,WI,53018
"Delafield Woods - 411 Bleeker Street and 828 Division Street Delafield, WI 53018","135,240.00",64,"69,514",Delafield Woods,10,"411 Bleeker Street and 828 Division Street Delafield, WI 53018",411 Bleeker Street and 828 Division Street,,Delafield,WI,53018
"Delafield Woods Land Corporation - 101 N. Mills Street Madison, WI 53715",0.00,0,0,Delafield Woods Land Corporation,82,"101 N. Mills Street Madison, WI 53715",101 N. Mills Street,,Madison,WI,53715
"Firehouse - 1329 W. Dayton Street Madison, WI 53715","18,450.00",6,"7,200",Firehouse,22,"1329 W. Dayton Street Madison, WI 53715",1329 W. Dayton Street,,Madison,WI,53715
"Hartland Riverwalk - 180 & 200 E. Capitol Drive & 211 Lawn Street Hartland, WI 53029","150,301.00",75,"80,013",Hartland Riverwalk,12,"180 & 200 E. Capitol Drive & 211 Lawn Street Hartland, WI 53029",180 & 200 E. Capitol Drive & 211 Lawn Street,,Hartland,WI,53029
"JDM Properties, LLC - 101 N Mills Street Madison, WI 53715",0.00,0,0,"JDM Properties, LLC",33,"101 N Mills Street Madison, WI 53715",101 N Mills Street,,Madison,WI,53715
"Joe's Soley Owned Parent LLC - 101 N Mills Madison, WI 53705",0.00,1,0,Joe's Soley Owned Parent LLC,76,"101 N Mills Madison, WI 53705",101 N Mills,,Madison,WI,53705
"Lakelawn - 210 Lakelawn Place Madison, WI 53715","49,630.00",19,500,Lakelawn,56,"210 Lakelawn Place Madison, WI 53715",210 Lakelawn Place,,Madison,WI,53715
"Luna Danns - 101 N. Mills Street Madison, WI 53715",0.00,0,0,Luna Danns,78,"101 N. Mills Street Madison, WI 53715",101 N. Mills Street,,Madison,WI,53715
"Maple Bluff House - 1215 Farwell Drive House Madison, WI 53704","6,150.00",1,"3,000",Maple Bluff House,11,"1215 Farwell Drive House Madison, WI 53704",1215 Farwell Drive,House,Madison,WI,53704
"Midtown Terrace - 8002 Starr Grass Drive Madison, WI 53719","340,360.00",186,"196,825",Midtown Terrace,58,"8002 Starr Grass Drive Madison, WI 53719",8002 Starr Grass Drive,,Madison,WI,53719
"Muirfield Apartments - 2105-2165 Muir Field Rd Madison, WI 53719","97,170.00",66,"52,800",Muirfield Apartments,59,"2105-2165 Muir Field Rd Madison, WI 53719",2105-2165 Muir Field Rd,,Madison,WI,53719
"Postal Partners, LLC - 101 N. Mills Street Madison, WI 53715",0.00,0,0,"Postal Partners, LLC",34,"101 N. Mills Street Madison, WI 53715",101 N. Mills Street,,Madison,WI,53715
"Seminole Woods Apartments - 2892 Mickelson Parkway #100 Fitchburg, WI 53711","158,220.00",88,"85,556",Seminole Woods Apartments,60,"2892 Mickelson Parkway #100 Fitchburg, WI 53711",2892 Mickelson Parkway #100,,Fitchburg,WI,53711
"Skyline Drive - 1406 W Skyline Drive Madison, WI 53705","4,500.00",1,"2,101",Skyline Drive,89,"1406 W Skyline Drive Madison, WI 53705",1406 W Skyline Drive,,Madison,WI,53705
"South Campus Partners, LLC - 101 N Mills St. Madison, WI 53715",0.00,0,0,"South Campus Partners, LLC",61,"101 N Mills St. Madison, WI 53715",101 N Mills St.,,Madison,WI,53715
"SSPM - A - 414 State Street Madison, WI 53703","9,340.44",4,"3,004",SSPM - A,14,"414 State Street Madison, WI 53703",414 State Street,,Madison,WI,53703
"SSPM - B - 422 State Street Madison, WI 53703","9,225.00",2,"4,440",SSPM - B,15,"422 State Street Madison, WI 53703",422 State Street,,Madison,WI,53703
"SSPM - C1 - 432/434/436 State Street Madison, WI 53703","3,360.00",4,"2,521",SSPM - C1,17,"432/434/436 State Street Madison, WI 53703",432/434/436 State Street,,Madison,WI,53703
"SSPM - C2 - 440/442/444 State Street Madison, WI 53703","6,898.00",4,"3,126",SSPM - C2,18,"440/442/444 State Street Madison, WI 53703",440/442/444 State Street,,Madison,WI,53703
"SSPM - D - 428/430 State Street Madison, WI 53703","9,700.00",3,"2,290",SSPM - D,16,"428/430 State Street Madison, WI 53703",428/430 State Street,,Madison,WI,53703
"SSPM - E - 462/468 State Street and 243 W. Gilman Street Madison, WI 53703","14,140.94",5,"3,268",SSPM - E,19,"462/468 State Street and 243 W. Gilman Street Madison, WI 53703",462/468 State Street and 243 W. Gilman Street,,Madison,WI,53703
"SSPM - F - 506/508 State Street Madison, WI 53703","22,837.50",3,"10,839",SSPM - F,20,"506/508 State Street Madison, WI 53703",506/508 State Street,,Madison,WI,53703
"SSPM - G - 544/546 State Street Madison, WI 53703","15,500.00",4,"3,295",SSPM - G,21,"544/546 State Street Madison, WI 53703",544/546 State Street,,Madison,WI,53703
"State Street Property Management - 101 N. Mills Street Madison, WI 53715",0.00,0,0,State Street Property Management,32,"101 N. Mills Street Madison, WI 53715",101 N. Mills Street,,Madison,WI,53715
"The Dude Abodes - 902 Drake Street Madison, WI 53715","103,419.92",42,"37,774",The Dude Abodes,2,"902 Drake Street Madison, WI 53715",902 Drake Street,,Madison,WI,53715
"The Lake House - 640 N. Henry Street Madison, WI 53703","112,210.00",15,"13,295",The Lake House,8,"640 N. Henry Street Madison, WI 53703",640 N. Henry Street,,Madison,WI,53703
"The Tuxedo - 5604 Schroeder Rd Madison, WI 53711","162,555.00",85,"76,307",The Tuxedo,83,"5604 Schroeder Rd Madison, WI 53711",5604 Schroeder Rd,,Madison,WI,53711
"Tyberius Terrace - 5302 & 5314 Odana Rd. Madison, WI 53711","123,050.00",60,"60,256",Tyberius Terrace,4,"5302 & 5314 Odana Rd. Madison, WI 53711",5302 & 5314 Odana Rd.,,Madison,WI,53711
"Waterfall - 8421 Mansion Hill Avenue Madison, WI 53719","265,415.00",136,"126,558",Waterfall,92,"8421 Mansion Hill Avenue Madison, WI 53719",8421 Mansion Hill Avenue,,Madison,WI,53719
"Woodland Reserve - 3205 Stevens Street Madison, WI 53705","280,395.00",130,"150,455",Woodland Reserve,57,"3205 Stevens Street Madison, WI 53705",3205 Stevens Street,,Madison,WI,53705

Total,"3,060,536.23","1,381","1,343,054",,,,,,,,
